,total,Taxonomy
Zotu1056,244,Bacteria(99.99999999999996);Fusobacteriota(99.99999999999996);Fusobacteriia(99.99999999999996);Fusobacteriales(99.99999999999996);Leptotrichiaceae(99.99999999999996);Leptotrichia(99.99999999999996);uncultured bacterium(98.49480519480518)
Zotu1059,184,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Alteromonadales(100.00000000000001);Alteromonadaceae(100.00000000000001);Alteromonas(100.00000000000001);Alteromonas stellipolaris(30.000000000000004)
Zotu106,11196,Bacteria(99.99999999999997);Proteobacteria(99.99999999999997);Gammaproteobacteria(99.99999999999997);Burkholderiales(99.99999999999997);Neisseriaceae(99.99999999999997);Neisseria(99.99999999999997);uncultured bacterium(54.780284171924066)
Zotu1060,178,Bacteria(99.99999999999994);Bacteroidota(99.99999999999994);Bacteroidia(99.99999999999994);Bacteroidales(99.99999999999994);Prevotellaceae(99.99999999999994);Alloprevotella(99.99999999999994);uncultured bacterium(91.0308441558441)
Zotu1061,177,Bacteria(100.00000000000003);Bacteroidota(100.00000000000003);Bacteroidia(100.00000000000003);Bacteroidales(100.00000000000003);Porphyromonadaceae(100.00000000000003);Porphyromonas(100.00000000000003);uncultured bacterium(72.08928571428574)
Zotu1062,220,Bacteria(100.00000000000026);Firmicutes(100.00000000000026);Bacilli(100.00000000000026);Bacillales(100.00000000000026);Bacillaceae(100.00000000000026);Anoxybacillus(100.00000000000026);Anoxybacillus flavithermus(77.10648178309778)
Zotu1066,228,Bacteria(99.99999999999999);Bacteroidota(99.99999999999999);Bacteroidia(99.99999999999999);Bacteroidales(99.99999999999999);Porphyromonadaceae(99.99999999999999);Porphyromonas(99.99999999999999);uncultured bacterium(67.25833333333334)
Zotu1068,162,Bacteria(100.00000000000001);Campilobacterota(100.00000000000001);Campylobacteria(100.00000000000001);Campylobacterales(100.00000000000001);Campylobacteraceae(100.00000000000001);Campylobacter(100.00000000000001);uncultured bacterium(88.24051320554756)
Zotu107,11104,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Burkholderiales(100.00000000000001);Neisseriaceae(100.00000000000001);Neisseria(100.00000000000001);uncultured bacterium(55.951128513669964)
Zotu1070,187,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Alloprevotella(100.0);uncultured Prevotellaceae bacterium(76.41666666666667)
Zotu1071,226,Bacteria(99.99999999999994);Proteobacteria(99.99999999999994);Gammaproteobacteria(99.99999999999994);Enterobacterales(99.99999999999994);Morganellaceae(99.99999999999994);Morganella(99.99999999999994);Morganella morganii(76.46522723983207)
Zotu1073,217,Bacteria(100.0);Fusobacteriota(100.0);Fusobacteriia(100.0);Fusobacteriales(100.0);Leptotrichiaceae(100.0);Leptotrichia(100.0);Leptotrichia sp. oral clone FP036(95.0)
Zotu1076,225,Bacteria(100.0);Proteobacteria(100.0);Alphaproteobacteria(100.0);Rhodobacterales(100.0);Rhodobacteraceae(100.0);Paracoccus(99.74866132772902);uncultured bacterium(15.023234426730832)
Zotu1077,123,Bacteria(99.99999999999999);Bacteroidota(99.99999999999999);Bacteroidia(99.99999999999999);Bacteroidales(99.99999999999999);Prevotellaceae(99.99999999999999);Prevotella(99.99999999999999);uncultured bacterium(49.54881672087373)
Zotu1078,282,Bacteria(100.0);Fusobacteriota(100.0);Fusobacteriia(100.0);Fusobacteriales(100.0);Leptotrichiaceae(100.0);Leptotrichia(100.0);uncultured bacterium(84.3808608058608)
Zotu1079,228,Bacteria(99.99999999999994);Proteobacteria(99.99999999999994);Gammaproteobacteria(99.99999999999994);Burkholderiales(99.99999999999994);Neisseriaceae(99.99999999999994);Kingella(97.44171658589437);uncultured bacterium(94.8834331717888)
Zotu108,10134,Bacteria(100.00000000000003);Actinobacteriota(100.00000000000003);Actinobacteria(100.00000000000003);Corynebacteriales(100.00000000000003);Corynebacteriaceae(100.00000000000003);Corynebacterium(100.00000000000003);uncultured bacterium(98.31375038533736)
Zotu1080,213,Bacteria(100.00000000000001);Planctomycetota(100.00000000000001);Planctomycetes(100.00000000000001);Pirellulales(100.00000000000001);Pirellulaceae(100.00000000000001);Blastopirellula(100.00000000000001);uncultured planctomycete(65.20595238095238)
Zotu1082,190,Bacteria(99.99999999999999);Bacteroidota(99.99999999999999);Bacteroidia(99.99999999999999);Bacteroidales(99.99999999999999);Prevotellaceae(99.99999999999999);Prevotella(99.99999999999999);uncultured bacterium(85.76277056277056)
Zotu1083,204,Bacteria(100.00000000000001);Bacteroidota(100.00000000000001);Bacteroidia(100.00000000000001);Bacteroidales(100.00000000000001);Porphyromonadaceae(100.00000000000001);Porphyromonas(100.00000000000001);uncultured bacterium(74.04722222222223)
Zotu1085,177,Bacteria(99.99999999999999);Bacteroidota(99.99999999999999);Bacteroidia(99.99999999999999);Bacteroidales(99.99999999999999);Prevotellaceae(99.99999999999999);Prevotella(99.99999999999999);uncultured bacterium(86.40061327561327)
Zotu1087,204,Bacteria(100.0);Firmicutes(100.0);Clostridia(100.0);Lachnospirales(100.0);Lachnospiraceae(100.0);Catonella(100.0);Catonella sp. oral clone FL037(99.0)
Zotu1088,229,Bacteria(100.00000000000001);Firmicutes(100.00000000000001);Bacilli(100.00000000000001);Lactobacillales(100.00000000000001);Streptococcaceae(100.00000000000001);Streptococcus(100.00000000000001);Streptococcus dysgalactiae subsp. equisimilis(28.000000000000004)
Zotu109,3673,Bacteria(100.00000000000003);Proteobacteria(100.00000000000003);Gammaproteobacteria(100.00000000000003);Oceanospirillales(100.00000000000003);Halomonadaceae(100.00000000000003);Halomonas(100.00000000000003);Halomonas aquamarina(21.29847653045734)
Zotu1091,190,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Alloprevotella(100.0);uncultured organism(28.85238095238095)
Zotu1092,172,Bacteria(99.99999999999999);Fusobacteriota(99.99999999999999);Fusobacteriia(99.99999999999999);Fusobacteriales(99.99999999999999);Leptotrichiaceae(99.99999999999999);Leptotrichia(99.99999999999999);uncultured bacterium(64.06868490986142)
Zotu1093,184,Bacteria(100.0);Firmicutes(100.0);Negativicutes(100.0);Veillonellales-Selenomonadales(100.0);Selenomonadaceae(100.0);Selenomonas(97.30603840603841);uncultured bacterium(90.4024753024753)
Zotu1094,252,Bacteria(100.0);Firmicutes(100.0);Negativicutes(100.0);Veillonellales-Selenomonadales(100.0);Veillonellaceae(100.0);Negativicoccus(100.0);Negativicoccus succinicivorans(99.19999999999999)
Zotu1098,187,Bacteria(100.00000000000001);Patescibacteria(100.00000000000001);Saccharimonadia(100.00000000000001);Saccharimonadales(100.00000000000001);Saccharimonadaceae(100.00000000000001);uncultured bacterium(98.13333333333335);unidentified(100.00000000000001)
Zotu1099,225,Bacteria(100.00000000000003);Bacteroidota(100.00000000000003);Bacteroidia(100.00000000000003);Bacteroidales(100.00000000000003);Porphyromonadaceae(100.00000000000003);Porphyromonas(100.00000000000003);uncultured bacterium(63.76190476190477)
Zotu11,164736,Bacteria(100.00000000000004);Proteobacteria(100.00000000000004);Gammaproteobacteria(100.00000000000004);Pseudomonadales(100.00000000000004);Moraxellaceae(100.00000000000004);Moraxella(67.33020408163247);uncultured bacterium(83.03795918367338)
Zotu110,8444,Bacteria(99.99999999999997);Firmicutes(99.99999999999997);Clostridia(99.99999999999997);Peptostreptococcales-Tissierellales(99.99999999999997);Anaerococcus(99.99999999999997);uncultured bacterium(93.81130120392822);unidentified(99.99999999999997)
Zotu1102,189,Bacteria(99.99999999999999);Firmicutes(99.99999999999999);Negativicutes(99.99999999999999);Veillonellales-Selenomonadales(99.99999999999999);Selenomonadaceae(99.72111605795814);Selenomonas(99.50927234611443);uncultured bacterium(68.37159582444023)
Zotu1103,198,Bacteria(100.0000000000002);Firmicutes(100.0000000000002);Bacilli(100.0000000000002);Lactobacillales(100.0000000000002);Streptococcaceae(100.0000000000002);Streptococcus(100.0000000000002);Streptococcus anginosus(59.36794233683561)
